Title,Volume,Writer,Artist
20th Century Boys,2,Naoki Urasawa,Naoki Urasawa
20th Century Boys,3,Naoki Urasawa,Naoki Urasawa
20th Century Boys,4,Naoki Urasawa,Naoki Urasawa
20th Century Boys,5,Naoki Urasawa,Naoki Urasawa
20th Century Boys,6,Naoki Urasawa,Naoki Urasawa
20th Century Boys,7,Naoki Urasawa,Naoki Urasawa
20th Century Boys,8,Naoki Urasawa,Naoki Urasawa
20th Century Boys,9,Naoki Urasawa,Naoki Urasawa
20th Century Boys,10,Naoki Urasawa,Naoki Urasawa
20th Century Boys,11,Naoki Urasawa,Naoki Urasawa
20th Century Boys,12,Naoki Urasawa,Naoki Urasawa
20th Century Boys,13,Naoki Urasawa,Naoki Urasawa
20th Century Boys,14,Naoki Urasawa,Naoki Urasawa
20th Century Boys,15,Naoki Urasawa,Naoki Urasawa
20th Century Boys,16,Naoki Urasawa,Naoki Urasawa
20th Century Boys,17,Naoki Urasawa,Naoki Urasawa
20th Century Boys,18,Naoki Urasawa,Naoki Urasawa
20th Century Boys,19,Naoki Urasawa,Naoki Urasawa
20th Century Boys,20,Naoki Urasawa,Naoki Urasawa
20th Century Boys,21,Naoki Urasawa,Naoki Urasawa
20th Century Boys,22,Naoki Urasawa,Naoki Urasawa
21st Century Boys,1,Naoki Urasawa,Naoki Urasawa
21st Century Boys,2,Naoki Urasawa,Naoki Urasawa
Batman,Court Of Owls,Scott Snyder,Greg Capullo 
Batman,City Of Owls,Scott Snyder,Greg Capullo 
Batman,Zero Year - Secret City,Scott Snyder,Greg Capullo 
Batman,Zero Year - Dark City,Scott Snyder,Greg Capullo 
Batman,Superheavy ,Scott Snyder,Greg Capullo 
Batman,Bloom,Scott Snyder,Greg Capullo 
Batman,Death By Design,Chip Kidd,Dave Taylor
Batman,Failsafe,Chip Zdarsky,Jorge Jimenez
Batman,The Batman Of Gotham,Chip Zdarsky,Mike Hawthorne
Batman,Failsafe,Chip Zdarsky,Jorge Jiménez
Batman,The Bat Man Of Gotham,Chip Zdarsky,Mike Hawthorne
Batman ,The Dark Knight Returns,Frank Miller,Frank Miller
Batman ,The Dark Knight Strikes Again,Frank Miller,Frank Miller
Batman ,The Widening Gyre,Kevin Smith,Walt Flanagan 
Batman ,The Knight,Chip Zdarsky,Carmine Di Giandomenico
Black Science,How To Fall Forever ,Rick Remender,Matteo Scalera
Black Science,"Welcome, Nowhere",Rick Remender,Matteo Scalera
Black Science,Vanishing Pattern,Rick Remender,Matteo Scalera
Black Science,God World ,Rick Remender,Matteo Scalera
Black Science,True Atonement,Rick Remender,Matteo Scalera
Black Science,Forbidden Realms and Hidde Truths,Rick Remender,Matteo Scalera
Black Science,Extinction Is The Rule,Rick Remender,Matteo Scalera
Black Science,Later Than You Think,Rick Remender,Matteo Scalera
Black Science,No Authority But Yourself,Rick Remender,Matteo Scalera
Daredevil,Guardian Devil,Kevin Smith,Joe Quesada
Daredevil,Wake Up,Brian Michael Bendis,Alex Maleev
Daredevil,Underboss,Brian Michael Bendis,Alex Maleev
Daredevil,Out,Brian Michael Bendis,Alex Maleev
Daredevil,Lowlife,Brian Michael Bendis,Alex Maleev
Daredevil,Hardcore,Brian Michael Bendis,Alex Maleev
Daredevil,King Of Hell's Kitchen,Brian Michael Bendis,Alex Maleev
Daredevil,The Widow,Brian Michael Bendis,Alex Maleev
Daredevil,Golden Age,Brian Michael Bendis,Alex Maleev
